                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1563,                 4.5307,                 1.1321,                0.03262,                0.34013,                0.04799,                0.03779,                0.80178,                 3.9688,                0.89377,             6.5789e-05,             6.5789e-05,             6.5789e-05
                      2,                0.99544,                 3.5215,                 1.0432,                0.37383,                0.34504,                0.27363,                0.21923,                 0.8461,                 2.4816,                0.98773,             0.00011934,             0.00011934,             0.00011934
                      3,                0.95931,                 2.6066,                 1.0468,                0.49705,                0.58868,                0.58524,                0.46964,                0.80672,                 1.6778,                0.99213,              0.0001597,              0.0001597,              0.0001597
                      4,                0.92452,                 1.9614,                 1.0436,                0.82145,                0.77084,                0.84879,                0.67779,                 0.7903,                 1.1625,                0.97863,              0.0001406,              0.0001406,              0.0001406
                      5,                0.89104,                 1.5656,                  1.027,                0.86811,                0.88956,                0.93056,                0.75004,                0.77259,                0.93431,                 0.9598,              0.0001406,              0.0001406,              0.0001406
                      6,                0.87006,                 1.3504,                 1.0159,                0.92257,                0.92043,                0.95492,                0.77326,                0.76738,                0.78728,                0.96173,              0.0001208,              0.0001208,              0.0001208
                      7,                0.84576,                 1.2099,                 1.0071,                0.93544,                 0.9218,                0.96043,                0.77531,                0.76915,                0.72737,                0.94627,               0.000101,               0.000101,               0.000101
                      8,                0.83613,                 1.1271,                0.99536,                0.94135,                0.95275,                0.96792,                0.78637,                0.75934,                0.67739,                0.94507,               8.12e-05,               8.12e-05,               8.12e-05
                      9,                0.82225,                 1.0599,                0.98537,                0.95472,                0.94925,                0.97044,                0.79146,                0.74626,                0.64618,                0.93754,               6.14e-05,               6.14e-05,               6.14e-05
                     10,                0.80703,                 1.0081,                0.98348,                0.95119,                 0.9693,                0.97436,                0.79613,                0.74778,                0.62687,                0.93862,               4.16e-05,               4.16e-05,               4.16e-05
